Pfam accession: PF00400         Pfam ID: WD40                    Occurrences: 128       
Pfam accession: PF03381         Pfam ID: CDC50                   Occurrences: 12        
Pfam accession: PF03493         Pfam ID: BK_channel_a            Occurrences: 12        
Pfam accession: PF16016         Pfam ID: VASt                    Occurrences: 11        
Pfam accession: PF03491         Pfam ID: 5HT_transport_N         Occurrences: 10        
Pfam accession: PF01061         Pfam ID: ABC2_membrane           Occurrences: 10        
Pfam accession: PF19055         Pfam ID: ABC2_membrane_7         Occurrences: 10        
Pfam accession: PF01237         Pfam ID: Oxysterol_BP            Occurrences: 9         
Pfam accession: PF00111         Pfam ID: Fer2                    Occurrences: 8         
Pfam accession: PF01033         Pfam ID: Somatomedin_B           Occurrences: 8         
Pfam accession: PF02893         Pfam ID: GRAM                    Occurrences: 8         
Pfam accession: PF01079         Pfam ID: Hint                    Occurrences: 8         
Pfam accession: PF01085         Pfam ID: HH_signal               Occurrences: 8         
Pfam accession: PF03062         Pfam ID: MBOAT                   Occurrences: 8         
Pfam accession: PF14798         Pfam ID: Ca_hom_mod              Occurrences: 8         
Pfam accession: PF18109         Pfam ID: Fer4_24                 Occurrences: 8         
Pfam accession: PF03185         Pfam ID: CaKB                    Occurrences: 8         
Pfam accession: PF01534         Pfam ID: Frizzled                Occurrences: 7         
Pfam accession: PF01392         Pfam ID: Fz                      Occurrences: 7         
Pfam accession: PF00027         Pfam ID: cNMP_binding            Occurrences: 6         
Pfam accession: PF05450         Pfam ID: Nicastrin               Occurrences: 6         
Pfam accession: PF18266         Pfam ID: Ncstrn_small            Occurrences: 6         
Pfam accession: PF01080         Pfam ID: Presenilin              Occurrences: 6         
Pfam accession: PF06105         Pfam ID: Aph-1                   Occurrences: 6         
Pfam accession: PF10251         Pfam ID: PEN-2                   Occurrences: 6         
Pfam accession: PF04103         Pfam ID: CD20                    Occurrences: 6         
Pfam accession: PF00003         Pfam ID: 7tm_3                   Occurrences: 6         
Pfam accession: PF00989         Pfam ID: PAS                     Occurrences: 5         
Pfam accession: PF07469         Pfam ID: DUF1518                 Occurrences: 5         
Pfam accession: PF08815         Pfam ID: Nuc_rec_co-act          Occurrences: 5         
Pfam accession: PF08832         Pfam ID: SRC-1                   Occurrences: 5         
Pfam accession: PF14598         Pfam ID: PAS_11                  Occurrences: 5         
Pfam accession: PF16279         Pfam ID: DUF4927                 Occurrences: 5         
Pfam accession: PF16665         Pfam ID: NCOA_u2                 Occurrences: 5         
Pfam accession: PF00702         Pfam ID: Hydrolase               Occurrences: 5         
Pfam accession: PF13520         Pfam ID: AA_permease_2           Occurrences: 5         
Pfam accession: PF00128         Pfam ID: Alpha-amylase           Occurrences: 5         
Pfam accession: PF16028         Pfam ID: SLC3A2_N                Occurrences: 5         
Pfam accession: PF08282         Pfam ID: Hydrolase_3             Occurrences: 5         
Pfam accession: PF09040         Pfam ID: H-K_ATPase_N            Occurrences: 5         
Pfam accession: PF00964         Pfam ID: Elicitin                Occurrences: 4         
Pfam accession: PF01223         Pfam ID: Endonuclease_NS         Occurrences: 4         
Pfam accession: PF01663         Pfam ID: Phosphodiest            Occurrences: 4         
Pfam accession: PF10562         Pfam ID: CaM_bdg_C0              Occurrences: 4         
Pfam accession: PF10565         Pfam ID: NMDAR2_C                Occurrences: 4         
Pfam accession: PF02816         Pfam ID: Alpha_kinase            Occurrences: 4         
Pfam accession: PF16519         Pfam ID: TRPM_tetra              Occurrences: 4         
Pfam accession: PF00293         Pfam ID: NUDIX                   Occurrences: 4         
Pfam accession: PF16905         Pfam ID: GPHH                    Occurrences: 4         
Pfam accession: PF16526         Pfam ID: CLZ                     Occurrences: 4         
Pfam accession: PF00822         Pfam ID: PMP22_Claudin           Occurrences: 4         
Pfam accession: PF00685         Pfam ID: Sulfotransfer_1         Occurrences: 3         
Pfam accession: PF00432         Pfam ID: Prenyltrans             Occurrences: 3         
Pfam accession: PF01273         Pfam ID: LBP_BPI_CETP            Occurrences: 3         
Pfam accession: PF02886         Pfam ID: LBP_BPI_CETP_C          Occurrences: 3         
Pfam accession: PF00048         Pfam ID: IL8                     Occurrences: 3         
Pfam accession: PF00375         Pfam ID: SDF                     Occurrences: 3         
Pfam accession: PF00084         Pfam ID: Sushi                   Occurrences: 3         
Pfam accession: PF18455         Pfam ID: GBR2_CC                 Occurrences: 3         
Pfam accession: PF00858         Pfam ID: ASC                     Occurrences: 3         
Pfam accession: PF00135         Pfam ID: COesterase              Occurrences: 2         
Pfam accession: PF00106         Pfam ID: adh_short               Occurrences: 2         
Pfam accession: PF01442         Pfam ID: Apolipoprotein          Occurrences: 2         
Pfam accession: PF00083         Pfam ID: Sugar_tr                Occurrences: 2         
Pfam accession: PF00169         Pfam ID: PH                      Occurrences: 2         
Pfam accession: PF00023         Pfam ID: Ank                     Occurrences: 2         
Pfam accession: PF13426         Pfam ID: PAS_9                   Occurrences: 2         
Pfam accession: PF13499         Pfam ID: EF-hand_7               Occurrences: 2         
Pfam accession: PF14752         Pfam ID: RBP_receptor            Occurrences: 2         
Pfam accession: PF00654         Pfam ID: Voltage_CLC             Occurrences: 2         
Pfam accession: PF01130         Pfam ID: CD36                    Occurrences: 2         
Pfam accession: PF03022         Pfam ID: MRJP                    Occurrences: 2         
Pfam accession: PF13857         Pfam ID: Ank_5                   Occurrences: 2         
Pfam accession: PF14396         Pfam ID: CFTR_R                  Occurrences: 2         
Pfam accession: PF06512         Pfam ID: Na_trans_assoc          Occurrences: 2         
Pfam accession: PF11933         Pfam ID: Na_trans_cytopl         Occurrences: 2         
Pfam accession: PF00537         Pfam ID: Toxin_3                 Occurrences: 2         
Pfam accession: PF02116         Pfam ID: STE2                    Occurrences: 2         
Pfam accession: PF12698         Pfam ID: ABC2_membrane_3         Occurrences: 2         
Pfam accession: PF00918         Pfam ID: Gastrin                 Occurrences: 2         
Pfam accession: PF09193         Pfam ID: CholecysA-Rec_N         Occurrences: 2         
Pfam accession: PF00061         Pfam ID: Lipocalin               Occurrences: 1         
Pfam accession: PF00413         Pfam ID: Peptidase_M10           Occurrences: 1         
Pfam accession: PF01471         Pfam ID: PG_binding_1            Occurrences: 1         
Pfam accession: PF00026         Pfam ID: Asp                     Occurrences: 1         
Pfam accession: PF00335         Pfam ID: Tetraspanin             Occurrences: 1         
Pfam accession: PF01036         Pfam ID: Bac_rhodopsin           Occurrences: 1         
Pfam accession: PF00014         Pfam ID: Kunitz_BPTI             Occurrences: 1         
Pfam accession: PF02177         Pfam ID: APP_N                   Occurrences: 1         
Pfam accession: PF03494         Pfam ID: Beta-APP                Occurrences: 1         
Pfam accession: PF10515         Pfam ID: APP_amyloid             Occurrences: 1         
Pfam accession: PF12924         Pfam ID: APP_Cu_bd               Occurrences: 1         
Pfam accession: PF12925         Pfam ID: APP_E2                  Occurrences: 1         
Pfam accession: PF07281         Pfam ID: INSIG                   Occurrences: 1         
Pfam accession: PF03253         Pfam ID: UT                      Occurrences: 1         
Pfam accession: PF01353         Pfam ID: GFP                     Occurrences: 1         
Pfam accession: PF08627         Pfam ID: CRT-like                Occurrences: 1         
Pfam accession: PF01992         Pfam ID: vATP-synt_AC39          Occurrences: 1         
Pfam accession: PF01496         Pfam ID: V_ATPase_I              Occurrences: 1         
Pfam accession: PF05493         Pfam ID: ATP_synt_H              Occurrences: 1         
Pfam accession: PF05827         Pfam ID: ATP-synt_S1             Occurrences: 1         
Pfam accession: PF07850         Pfam ID: Renin_r                 Occurrences: 1         
Pfam accession: PF07654         Pfam ID: C1-set                  Occurrences: 1         
Pfam accession: PF07686         Pfam ID: V-set                   Occurrences: 1         
Pfam accession: PF00110         Pfam ID: wnt                     Occurrences: 1         
Pfam accession: PF06664         Pfam ID: MIG-14_Wnt-bd           Occurrences: 1         
