Pfam accession: PF00001         Pfam ID: 7tm_1                   Ligand name: CLR        Occurrences: 9          Molecule/domain: 1.89      
Pfam accession: PF00689         Pfam ID: Cation_ATPase_C         Ligand name: CLR        Occurrences: 62         Molecule/domain: 1.94      
Pfam accession: PF03311         Pfam ID: Cornichon               Ligand name: CLR        Occurrences: 31         Molecule/domain: 1.0       
Pfam accession: PF00122         Pfam ID: E1-E2_ATPase            Ligand name: CLR        Occurrences: 13         Molecule/domain: 1.0       
Pfam accession: PF02221         Pfam ID: E1_DerP2_DerF2          Ligand name: C3S        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF02221         Pfam ID: E1_DerP2_DerF2          Ligand name: CLR        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF02221         Pfam ID: E1_DerP2_DerF2          Ligand name: ERG        Occurrences: 5          Molecule/domain: 1.0       
Pfam accession: PF00964         Pfam ID: Elicitin                Ligand name: ERG        Occurrences: 2          Molecule/domain: 2.0       
Pfam accession: PF01534         Pfam ID: Frizzled                Ligand name: CLR        Occurrences: 4          Molecule/domain: 1.25      
Pfam accession: PF01534         Pfam ID: Frizzled                Ligand name: CO1        Occurrences: 2          Molecule/domain: 1.5       
Pfam accession: PF01392         Pfam ID: Fz                      Ligand name: CLR        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF01353         Pfam ID: GFP                     Ligand name: Y01        Occurrences: 1          Molecule/domain: 5.0       
Pfam accession: PF01079         Pfam ID: Hint                    Ligand name: CLR        Occurrences: 6          Molecule/domain: 1.0       
Pfam accession: PF00104         Pfam ID: Hormone_recep           Ligand name: C3S        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF00104         Pfam ID: Hormone_recep           Ligand name: CO1        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00104         Pfam ID: Hormone_recep           Ligand name: HC2        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF00104         Pfam ID: Hormone_recep           Ligand name: HC3        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00104         Pfam ID: Hormone_recep           Ligand name: HC9        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF07281         Pfam ID: INSIG                   Ligand name: HC3        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF00876         Pfam ID: Innexin                 Ligand name: CLR        Occurrences: 35         Molecule/domain: 2.0       
Pfam accession: PF00520         Pfam ID: Ion_trans               Ligand name: CLR        Occurrences: 22         Molecule/domain: 1.45      
Pfam accession: PF00520         Pfam ID: Ion_trans               Ligand name: Y01        Occurrences: 68         Molecule/domain: 1.96      
Pfam accession: PF07885         Pfam ID: Ion_trans_2             Ligand name: Y01        Occurrences: 24         Molecule/domain: 1.67      
Pfam accession: PF01273         Pfam ID: LBP_BPI_CETP            Ligand name: 2OB        Occurrences: 3          Molecule/domain: 1.0       
Pfam accession: PF02886         Pfam ID: LBP_BPI_CETP_C          Ligand name: 2OB        Occurrences: 3          Molecule/domain: 2.0       
Pfam accession: PF00060         Pfam ID: Lig_chan                Ligand name: CLR        Occurrences: 16         Molecule/domain: 1.0       
Pfam accession: PF10613         Pfam ID: Lig_chan-Glu_bd         Ligand name: CLR        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF10613         Pfam ID: Lig_chan-Glu_bd         Ligand name: Y01        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF03062         Pfam ID: MBOAT                   Ligand name: CLR        Occurrences: 8          Molecule/domain: 1.75      
Pfam accession: PF06664         Pfam ID: MIG-14_Wnt-bd           Ligand name: Y01        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF03022         Pfam ID: MRJP                    Ligand name: 94R        Occurrences: 2          Molecule/domain: 2.5       
Pfam accession: PF16414         Pfam ID: NPC1_N                  Ligand name: CLR        Occurrences: 7          Molecule/domain: 1.0       
Pfam accession: PF16414         Pfam ID: NPC1_N                  Ligand name: HC3        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF00287         Pfam ID: Na_K-ATPase             Ligand name: CLR        Occurrences: 58         Molecule/domain: 1.33      
Pfam accession: PF02931         Pfam ID: Neur_chan_LBD           Ligand name: Y01        Occurrences: 18         Molecule/domain: 1.72      
Pfam accession: PF02932         Pfam ID: Neur_chan_memb          Ligand name: CLR        Occurrences: 15         Molecule/domain: 1.0       
Pfam accession: PF02932         Pfam ID: Neur_chan_memb          Ligand name: Y01        Occurrences: 19         Molecule/domain: 2.84      
Pfam accession: PF01237         Pfam ID: Oxysterol_BP            Ligand name: CLR        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF08016         Pfam ID: PKD_channel             Ligand name: CLR        Occurrences: 8          Molecule/domain: 1.0       
Pfam accession: PF08016         Pfam ID: PKD_channel             Ligand name: Y01        Occurrences: 4          Molecule/domain: 3.5       
Pfam accession: PF02460         Pfam ID: Patched                 Ligand name: CLR        Occurrences: 10         Molecule/domain: 1.0       
Pfam accession: PF02460         Pfam ID: Patched                 Ligand name: ERG        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF02460         Pfam ID: Patched                 Ligand name: Y01        Occurrences: 3          Molecule/domain: 3.67      
Pfam accession: PF16212         Pfam ID: PhoLip_ATPase_C         Ligand name: CLR        Occurrences: 4          Molecule/domain: 3.75      
Pfam accession: PF16212         Pfam ID: PhoLip_ATPase_C         Ligand name: Y01        Occurrences: 8          Molecule/domain: 1.0       
Pfam accession: PF01663         Pfam ID: Phosphodiest            Ligand name: 5JK        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF14752         Pfam ID: RBP_receptor            Ligand name: CLR        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF07850         Pfam ID: Renin_r                 Ligand name: CLR        Occurrences: 1          Molecule/domain: 3.0       
Pfam accession: PF00375         Pfam ID: SDF                     Ligand name: Y01        Occurrences: 3          Molecule/domain: 1.0       
Pfam accession: PF16028         Pfam ID: SLC3A2_N                Ligand name: CLR        Occurrences: 1          Molecule/domain: 3.0       
Pfam accession: PF16028         Pfam ID: SLC3A2_N                Ligand name: Y01        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF00209         Pfam ID: SNF                     Ligand name: CLR        Occurrences: 20         Molecule/domain: 1.15      
Pfam accession: PF00209         Pfam ID: SNF                     Ligand name: Y01        Occurrences: 8          Molecule/domain: 1.0       
Pfam accession: PF02116         Pfam ID: STE2                    Ligand name: Y01        Occurrences: 2          Molecule/domain: 3.0       
Pfam accession: PF01033         Pfam ID: Somatomedin_B           Ligand name: 5JK        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF12349         Pfam ID: Sterol-sensing          Ligand name: CLR        Occurrences: 16         Molecule/domain: 1.44      
Pfam accession: PF12349         Pfam ID: Sterol-sensing          Ligand name: HC3        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF12349         Pfam ID: Sterol-sensing          Ligand name: Y01        Occurrences: 4          Molecule/domain: 2.0       
Pfam accession: PF00083         Pfam ID: Sugar_tr                Ligand name: Y01        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF16016         Pfam ID: VASt                    Ligand name: ERG        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF16016         Pfam ID: VASt                    Ligand name: HC3        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF01496         Pfam ID: V_ATPase_I              Ligand name: CLR        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF00654         Pfam ID: Voltage_CLC             Ligand name: Y01        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: 0GV        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: 2DC        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: CLR        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: DVE        Occurrences: 3          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: HC9        Occurrences: 6          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: HCD        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: K2B        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: LAN        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: LNP        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: PLO        Occurrences: 4          Molecule/domain: 1.0       
Pfam accession: PF00067         Pfam ID: p450                    Ligand name: VD3        Occurrences: 2          Molecule/domain: 1.0       
